timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z,mac_e4_5e_1b_ad_00_24_RSSI,mac_e4_5e_1b_ad_00_24_distance,mac_28_bd_89_ca_2d_a3_RSSI,mac_28_bd_89_ca_2d_a3_distance,mac_cc_f4_11_44_d8_b8_RSSI,mac_cc_f4_11_44_d8_b8_distance,mac_28_bd_89_ed_c9_6d_RSSI,mac_28_bd_89_ed_c9_6d_distance,mac_cc_f4_11_36_64_98_RSSI,mac_cc_f4_11_36_64_98_distance,mac_28_bd_89_f3_a5_77_RSSI,mac_28_bd_89_f3_a5_77_distance,time_diff,cumulative_ratio,x_coord,y_coord
1970-01-01 00:28:36.987087661,1.9044054746627808,-1.580416917800903,11.45877170562744,0.4079959392547607,0.2203763872385025,-0.116779513657093,22.08749961853028,12.512499809265137,-23.89999961853028,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,7.7e-08,0.2568158869067653,14.3,13.54622349377314
1970-01-01 00:28:36.987087686,1.988846063613892,-0.7611632943153381,8.358423233032227,0.4440817236900329,0.1921469122171402,-0.4103927612304687,22.21249961853028,13.02500057220459,-23.86250114440918,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,2.5e-08,0.2584988219454728,14.3,13.565661393470211
1970-01-01 00:28:36.987087775,1.2354680299758911,-1.3294905424118042,8.960287094116211,-0.3005374670028686,0.4198469817638397,-0.5808349251747131,22.8125,13.71250057220459,-23.8125,0.0,-1.0,-85.0,13089.0,0.0,-1.0,-60.0,3144.0,-70.0,6024.0,-92.0,17206.0,8.9e-08,0.2644900706832715,14.3,13.634860316391787
1970-01-01 00:28:36.987087846,0.2700901925563812,-0.6419882774353027,8.889620780944824,-0.179230585694313,0.1359542608261108,-0.2616553604602813,22.71249961853028,14.1875,-22.05000114440918,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,7.1e-08,0.2692696061932008,14.3,13.690063951531467
1970-01-01 00:28:36.987087922,0.5258075594902039,0.3599206507205963,9.09443473815918,-0.1595232188701629,0.0772316083312034,-0.1378184705972671,22.61250114440918,15.33750057220459,-20.67500114440918,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,7.6e-08,0.2743857287108716,14.3,13.749155166610567
1970-01-01 00:28:36.987087974,0.6839091181755066,0.264101505279541,9.66036605834961,0.1059937179088592,0.0516652800142765,-0.0478036999702453,22.61250114440918,15.550000190734863,-20.662500381469727,0.0,-1.0,-86.0,10296.0,0.0,-1.0,-55.0,3261.0,-66.0,6102.0,-88.0,17177.0,5.2e-08,0.2778862335913832,14.3,13.789585997980476
1970-01-01 00:28:36.987088047,0.573118269443512,0.4126211702823639,9.719654083251951,0.098536878824234,0.0038615802768617,0.136087417602539,22.875,15.162500381469728,-20.3125,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,7.3e-08,0.2828004039044092,14.3,13.846344665095929
1970-01-01 00:28:36.987088120,0.7449938058853149,-0.3599206507205963,11.23838710784912,-0.2324937582015991,0.043409489095211,0.0953410863876342,22.887500762939453,16.200000762939453,-19.512500762939453,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,7.3e-08,0.287714574217435,14.3,13.903103332211376
1970-01-01 00:28:36.987088170,0.3401579558849334,-0.8450050354003906,12.20795726776123,0.0527305454015731,-0.0768321305513382,0.3764374852180481,23.36250114440918,16.17500114440918,-19.14999961853028,-94.0,16327.0,-82.0,12698.0,0.0,-1.0,-53.0,3700.0,-70.0,7314.0,-87.0,19374.0,5e-08,0.2910804442948501,14.3,13.94197913160552
1970-01-01 00:28:36.987088248,0.4868810176849365,-0.7773327827453613,10.667065620422363,0.6430196762084961,-0.1137168779969215,0.3881554007530212,23.58749961853028,14.975000381469728,-19.475000381469727,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,0.0,-1.0,7.8e-08,0.2963312016156175,14.3,14.002625378660383
