Predicted_X,Predicted_Y,True_X,True_Y
0.9754387,-1.1964765,1.0647998,-1.2410976
0.9735827,-1.1992332,1.0647998,-1.2392972
0.972549,-1.1980323,1.0647998,-1.2360392
0.97665554,-1.1937034,1.0647998,-1.2324811
0.98668647,-1.175668,1.0647998,-1.2308092
0.9895706,-1.1741518,1.0647998,-1.227337
0.9781792,-1.1985433,1.0647998,-1.2239075
0.978242,-1.1961865,1.0647998,-1.222107
0.9775939,-1.1934412,1.0647998,-1.2187634
0.9844204,-1.1794097,1.0647998,-1.215291
0.9923872,-1.1666423,1.0647998,-1.2135763
0.99425995,-1.165807,1.0647998,-1.2100183
1.0043983,-1.1440542,1.0647998,-1.2066746
0.9914567,-1.1674547,1.0647998,-1.2049598
0.98523086,-1.175714,1.0647998,-1.2015303
0.9991394,-1.1448718,1.0647998,-1.1981437
0.9987168,-1.1409177,1.0647998,-1.1963862
0.99671304,-1.1425287,1.0647998,-1.1929567
1.0082593,-1.1230875,1.0647998,-1.1895273
1.0105436,-1.1224899,1.0647998,-1.1878126
1.009374,-1.1286606,1.0647998,-1.1842545
0.9966606,-1.1537241,1.0647998,-1.1809108
0.9995712,-1.1465242,1.0647998,-1.1792389
0.99943477,-1.1454229,1.0647998,-1.175638
0.99950594,-1.144382,1.0647998,-1.1723372
1.0013433,-1.1427482,1.0647998,-1.1706225
1.0041742,-1.1362699,1.0647998,-1.1671072
1.0070549,-1.1361389,1.0647998,-1.1636778
0.99774116,-1.1503819,1.0647998,-1.1620059
0.99588615,-1.1554804,1.0647998,-1.1585337
1.0048196,-1.1372988,1.0647998,-1.1551042
1.0011774,-1.1420075,1.0647998,-1.1534324
1.008035,-1.1213396,1.0647998,-1.1498314
1.0141062,-1.104959,1.0647998,-1.1464877
1.0275382,-1.0788368,1.0647998,-1.1448158
1.0212011,-1.0929136,1.0647998,-1.1413864
1.0118741,-1.1132374,1.0647998,-1.1378284
1.0160705,-1.1049663,1.0647998,-1.1361994
1.0169768,-1.1020695,1.0647998,-1.1325556
1.0129204,-1.1110147,1.0647998,-1.1292119
1.0186782,-1.0970006,1.0647998,-1.1272827
1.0275111,-1.07394,1.0647998,-1.1241963
1.0394819,-1.0514055,1.0647998,-1.1205953
1.0318295,-1.06883,1.0647998,-1.1190093
1.0360005,-1.0621353,1.0647998,-1.1156226
1.041083,-1.0528203,1.0647998,-1.1119789
1.0302851,-1.0724037,1.0647998,-1.1104356
1.031554,-1.067171,1.0647998,-1.1069633
1.0405021,-1.0453767,1.0647998,-1.1035339
1.0487497,-1.0290906,1.0647998,-1.1017334
1.0357221,-1.0546336,1.0647998,-1.0983896
1.0157075,-1.0948735,1.0647998,-1.0961605
1.0127578,-1.1011963,1.0647998,-1.0931598
1.0228653,-1.0782709,1.0647998,-1.0898161
1.0327446,-1.0630637,1.0647998,-1.0873297
1.0418854,-1.0473123,1.0647998,-1.0845432
1.0505396,-1.0373752,1.0647998,-1.0812424
1.0493081,-1.0378908,1.0647998,-1.0792277
1.0435765,-1.0486087,1.0647998,-1.0759268
1.0502425,-1.0246843,1.0647998,-1.0725831
1.0458565,-1.0305792,1.0647998,-1.0706111
1.032211,-1.0552262,1.0647998,-1.0673103
1.038137,-1.0399936,1.0647998,-1.0639666
1.0527768,-0.99814916,1.0647998,-1.0620376
1.0575325,-0.9940219,1.0647998,-1.0588653
1.051797,-1.0112267,1.0647998,-1.055393
1.0428054,-1.0300508,1.0647998,-1.0535067
1.0487611,-1.0219434,1.0647998,-1.0501202
1.0452352,-1.0265429,1.0647998,-1.0467336
1.0646908,-0.9853945,1.0647998,-1.0449332
1.0727365,-0.97197056,1.0647998,-1.0415466
1.0594642,-0.99160683,1.0647998,-1.037817
1.0460832,-1.0218153,1.0647998,-1.0364023
1.0325975,-1.0485643,1.0647998,-1.0330586
1.0523967,-1.0085242,1.0647998,-1.0294578
1.054405,-0.9958968,1.0647998,-1.0277431
1.0378294,-1.0254905,1.0647998,-1.0244422
1.0470054,-1.0038733,1.0647998,-1.0208842
1.0634983,-0.95937335,1.0647998,-1.0191694
1.0727353,-0.93512166,1.0647998,-1.0158257
1.0598156,-0.9458748,1.0647998,-1.0123962
