Predicted_X,Predicted_Y,True_X,True_Y
-1.2823268,0.6789245,-1.2915608,0.6061913
-1.2891364,0.6461305,-1.2920702,0.58807194
-1.2869179,0.65822065,-1.2922175,0.57070136
-1.2986064,0.61260796,-1.2928748,0.55333614
-1.3061111,0.5623902,-1.2932494,0.5329912
-1.3074335,0.54720503,-1.2934216,0.51836723
-1.309609,0.5387294,-1.2938275,0.49540636
-1.3134024,0.5107109,-1.2940462,0.47559974
-1.3208827,0.49477583,-1.2944003,0.45835483
-1.319756,0.4718204,-1.2944227,0.4363447
-1.3233521,0.4379837,-1.2943863,0.41461748
-1.3224187,0.4364801,-1.2946482,0.3986078
-1.3239495,0.41853076,-1.2951981,0.3824172
-1.324737,0.38020134,-1.2960429,0.36933812
-1.3276622,0.34104145,-1.2972395,0.35391867
-1.3260015,0.33643472,-1.2985091,0.34111258
-1.3296664,0.32015753,-1.3002539,0.32808185
-1.3295146,0.3036384,-1.3025522,0.31221563
-1.3322768,0.2907592,-1.3029878,0.30710515
-1.3412853,0.253606,-1.3042964,0.29919302
-1.3389349,0.22736076,-1.3106955,0.265409
-1.3472087,0.17423677,-1.3134637,0.24996969
-1.33938,0.1770941,-1.3171208,0.23155065
-1.343029,0.17001611,-1.3208922,0.21572617
-1.340487,0.15134251,-1.3231642,0.20240209
-1.3446432,0.14109948,-1.329191,0.17383435
-1.3527609,0.109280854,-1.3342448,0.14864299
-1.3482007,0.08267933,-1.3373147,0.13019814
-1.3513055,0.083538026,-1.3410461,0.11207626
-1.3508446,0.11584169,-1.3461252,0.088295005
-1.3468218,0.08065894,-1.3518662,0.060080405
-1.3385632,0.079308,-1.3542681,0.048848655
-1.3514255,0.069999516,-1.360543,0.018573783
-1.3553464,0.05444005,-1.3640565,0.0023604184
-1.3405792,-0.04001406,-1.3685443,-0.01949134
-1.3438579,-0.0007520616,-1.3721906,-0.036212903
-1.3471106,-0.02075316,-1.3755821,-0.05271859
-1.3369359,-0.03581299,-1.3791837,-0.069186375
-1.3472648,-0.043479025,-1.3825263,-0.085795105
-1.3485202,-0.024280906,-1.3858047,-0.10276612
-1.3454585,-0.071870536,-1.3896717,-0.12240394
-1.3460144,-0.06845005,-1.3932402,-0.13924547
-1.3472834,-0.0828435,-1.3965232,-0.15586883
-1.3480248,-0.11557404,-1.4025847,-0.18620895
-1.3537697,-0.12266673,-1.4067787,-0.2062677
-1.354254,-0.1492556,-1.4097366,-0.22070485
-1.354628,-0.15017241,-1.4138246,-0.24460378
-1.3569789,-0.16200522,-1.4173867,-0.26807413
-1.3530995,-0.15378132,-1.4184859,-0.28171343
-1.3565869,-0.19591145,-1.4198285,-0.30547598
-1.3597963,-0.20486154,-1.4206494,-0.32966596
-1.3619618,-0.21180652,-1.4212271,-0.35133734
