True_X,True_Y,Pred_X,Pred_Y,Pred_Smooth_X,Pred_Smooth_Y
4.0318785,3.0986865,4.107049,3.0956569,4.076411453108582,3.123393785269559
4.040517,3.1101515,4.1121087,3.104207,4.082912579937274,3.134186548663179
4.047952,3.1195495,4.1175785,3.113277,4.08942349369047,3.144756244175222
4.057326,3.1308112,4.1251235,3.1221817,4.0960992140297225,3.1551027120566677
4.0653343,3.1401,4.1329117,3.1313865,4.102948408413887,3.16526162058786
4.0752716,3.150978,4.141848,3.140848,4.110048588588871,3.175264053148801
4.0854845,3.1615329,4.1494355,3.1501324,4.1172828437114966,3.185106784667959
4.0940127,3.170103,4.1562214,3.159869,4.124580614645372,3.194834948493904
4.1042523,3.1800992,4.1653647,3.168821,4.132115999938514,3.20439727515867
4.113114,3.1883032,4.1744657,3.1785371,4.1398724509415645,3.2138630963608783
4.1238747,3.1976779,4.1826057,3.1885648,4.147763559244447,3.223264425152948
4.1330943,3.2053764,4.190753,3.1975799,4.155780315367944,3.2325305769513273
4.144467,3.2143679,4.1989007,3.208334,4.163913525807574,3.2418043028387635
4.154017,3.2216797,4.2095227,3.2175326,4.17234376857705,3.2509704339750045
4.1658072,3.2301643,4.2198734,3.2279356,4.181034183608069,3.2601295259222822
4.1757126,3.2369792,4.2309875,3.2362454,4.190028343358175,3.2691256452909885
4.1817937,3.240983,4.243262,3.2481332,4.1993982565001255,3.278243150974459
4.1981063,3.2514682,4.2555885,3.2579172,4.209127987230121,3.287320099684667
4.2107344,3.2589226,4.268818,3.2656953,4.21926698008755,3.2962081778584897
4.2217345,3.2646976,4.283044,3.2734344,4.229869583370899,3.304915487994714
4.2322655,3.2704225,4.2976003,3.2812011,4.240936599060751,3.313455054445541
4.245125,3.2774527,4.312783,3.2867267,4.252490993502824,3.3216657944917185
4.258452,3.2837472,4.328726,3.2911935,4.264564689225099,3.329483669817305
4.2720995,3.2897794,4.3454366,3.2962384,4.2771884434745475,3.3369728497030375
4.283221,3.2944553,4.363009,3.2995837,4.290398509882234,3.344020959269574
4.2970243,3.2998974,4.382434,3.303857,4.30430505782794,3.350721582861461
4.3106575,3.3047035,4.4012346,3.308972,4.318823730991243,3.3571583700033916
4.322281,3.3086596,4.4204273,3.3168194,4.333950664784855,3.36355670956305
4.3362293,3.3130622,4.439126,3.3232343,4.349613813390282,3.369814284639512
4.3502126,3.3174164,4.456213,3.3266644,4.365657961423102,3.37571387783122
4.3643417,3.320972,4.4732285,3.33122,4.382051623635705,3.381361539401725
4.378763,3.3241756,4.488301,3.3339584,4.398621188991784,3.3866341626531473
4.3938246,3.3269625,4.5034723,3.337629,4.41535622889257,3.3916241189338057
4.4071174,3.329126,4.519076,3.3411198,4.432272388755343,3.3963352650390326
4.424775,3.3315504,4.5333786,3.343811,4.449252250318968,3.4007240524978
4.4401116,3.3337073,4.5510993,3.3488402,4.46654440646309,3.4049889424910864
4.45565,3.3358786,4.564614,3.3513026,4.483804328695231,3.408945287819829
4.477611,3.3389378,4.5819387,3.3557515,4.501314734964428,3.412764204306824
4.4942045,3.3412664,4.593476,3.356967,4.518612928924854,3.416210660397284
4.5128503,3.3444283,4.607867,3.3601725,4.5359160669594525,3.419458691153218
4.5287123,3.3469594,4.6191616,3.3628109,4.552977981682509,3.422479945849943
