True_X,True_Y,Pred_X,Pred_Y,Pred_Smooth_X,Pred_Smooth_Y
4.0317698,1.9729035,4.3403234,2.1882808,4.3403887746623075,2.1883647028503743
4.029208,1.9846838,4.340342,2.188263,4.340387721831592,2.188356019634377
4.0270095,1.9998935,4.3403287,2.188261,4.340385649494668,2.188347699120233
4.0250673,2.013542,4.3403335,2.1882446,4.34038399928067,2.188338615545011
4.0225377,2.0315433,4.340311,2.1882403,4.340380705593546,2.1883297311598846
4.020891,2.0467157,4.3403134,2.1882303,4.340377714018397,2.1883206093917584
4.0188227,2.062289,4.3403234,2.1882145,4.3403755679956335,2.1883108448764492
4.015803,2.081495,4.3403115,2.1882017,4.340372618522415,2.188300685802105
4.012856,2.1010015,4.340292,2.188206,4.340368361773529,2.188291397336576
4.0100603,2.1195395,4.340315,2.1881876,4.3403659160947035,2.1882813072530913
4.0077558,2.1349044,4.340287,2.1881943,4.340361585354963,2.188272242845166
4.0048637,2.1527438,4.340294,2.1881878,4.340357898264271,2.1882632236580895
4.0029335,2.1675057,4.340285,2.1881917,4.340353717962617,2.18825496813513
4.0003467,2.185216,4.3402824,2.1881812,4.340349536772685,2.1882464408876565
3.9973774,2.2024572,4.340277,2.1881804,4.340345157997485,2.188238334557983
3.995442,2.2166405,4.340258,2.1881955,4.340339640045355,2.188231714313006
3.9926405,2.233387,4.3402615,2.188178,4.340334576281621,2.188224286753076
3.9913776,2.2477052,4.3402457,2.188186,4.340328646244619,2.188217815229834
3.9889343,2.2649024,4.3402314,2.1881833,4.340321989473231,2.188211544321561
3.986396,2.281416,4.3402386,2.1881883,4.340316092585534,2.1882059817846575
3.9841614,2.2979498,4.340235,2.1881804,4.34031021812709,2.1882002298160974
3.9818983,2.3147132,4.3402305,2.188176,4.3403042718393925,2.188194521317293
3.9794705,2.3308432,4.340224,2.1881819,4.3402981320206875,2.188189556714989
3.9773612,2.3444893,4.3402267,2.1881804,4.340292445495911,2.1881848125600256
3.9749086,2.3609447,4.34023,2.1881914,4.34028722814261,2.1881811041441477
3.9718497,2.3802197,4.3402214,2.188192,4.340281673226302,2.188177693812427
3.9697442,2.3965886,4.3402243,2.1881962,4.340276553732302,2.1881748214026246
3.9676707,2.4104114,4.340221,2.1882,4.340271446085259,2.188172433459596
3.9653208,2.4269116,4.34021,2.1881983,4.3402658498690245,2.1881701488945327
3.9632032,2.440527,4.3402014,2.1882064,4.340259943142298,2.188168604910013
3.960668,2.4568949,4.3401976,2.1881988,4.340254053480873,2.1881667392438793
3.9586172,2.4706397,4.3402014,2.1881971,4.340248683178885,2.188164952586341
3.957707,2.4789066,4.3402157,2.1882021,4.340244502292657,2.1881636770709183
3.9543042,2.5007942,4.340216,2.1882012,4.3402405658678065,2.1881625025583147
3.951717,2.5170755,4.340213,2.1882014,4.3402366175838045,2.1881615010073
3.9495833,2.530565,4.3402205,2.1882007,4.340233374450851,2.1881606017368425
3.9475412,2.5441585,4.3402214,2.1882057,4.340230377595696,2.188160171527212
3.944922,2.5606253,4.3402114,2.1882112,4.340226905045878,2.188160222291425
