timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,magnetometer_x,magnetometer_y,magnetometer_z,mac_e4_5e_1b_ad_00_24_RSSI,mac_e4_5e_1b_ad_00_24_distance,mac_28_bd_89_ca_2d_a3_RSSI,mac_28_bd_89_ca_2d_a3_distance,mac_cc_f4_11_44_d8_b8_RSSI,mac_cc_f4_11_44_d8_b8_distance,mac_28_bd_89_ed_c9_6d_RSSI,mac_28_bd_89_ed_c9_6d_distance,mac_cc_f4_11_36_64_98_RSSI,mac_cc_f4_11_36_64_98_distance,mac_28_bd_89_f3_a5_77_RSSI,mac_28_bd_89_f3_a5_77_distance,x_coord,y_coord
1753006496152,-2.039881229,-0.613758981,10.271191596984863,-0.460897475,-0.395840377,-0.252592593,6.168750286102295,-48.50625229,-42.73125076,-87.0,89317.0,-62.0,13969.0,-56.0,2994.0,-88.0,49710.0,-81.0,83524.0,-76.0,43160.0,15.878,2.6273637264618435
1753006496218,-0.86680001,0.0921236723661422,8.754739761352539,-0.000153,-0.65667963,-0.428979784,5.831250190734863,-48.15000153,-42.91875076,-87.0,88760.5,-63.5,14093.5,-55.0,3062.0,-87.5,48554.0,-82.5,83681.0,-74.0,43098.5,15.878,2.7149425173439052
1753006496282,-0.723828852,1.074377417564392,8.365307807922363,0.0462730079889297,0.0349720083177089,-0.047647454,6.693750381469727,-47.75625229,-43.125,-87.0,88760.5,-63.5,14093.5,-55.0,3062.0,-87.5,48554.0,-82.5,83681.0,-74.0,43098.5,15.878,2.8025213082259666
1753006496348,-1.3310076,0.6807580590248108,10.288538932800291,0.4819723069667816,0.1811214089393615,0.2461785078048706,6.937500476837158,-47.23125076,-42.60000229,-87.0,88204.0,-65.0,14218.0,-54.0,3130.0,-87.0,47398.0,-84.0,83838.0,-72.0,43037.0,15.878,2.890100099108028
1753006496411,-1.273579836,0.9397810697555542,10.137791633605955,0.6415607333183289,0.1907425224781036,0.2174678593873977,5.71875,-47.86875153,-42.41250229,-87.5,88675.0,-63.5,14207.0,-57.5,2802.0,-84.5,49058.0,-83.0,83750.5,-74.0,42985.0,15.878,2.9776788899900897
1753006496476,-0.960120082,0.4115654826164245,10.46381378173828,-0.042913251,-0.035277441,0.0581848695874214,5.231250286102295,-49.72500229,-39.28125,-87.5,88675.0,-63.5,14207.0,-57.5,2802.0,-84.5,49058.0,-83.0,83750.5,-74.0,42985.0,15.878,3.065257680872151
1753006496542,-0.991824985,-0.281754881,11.124232292175291,0.1583666950464248,-0.018173227,-0.060628328,4.668750286102295,-49.20000076,-38.79375076,-88.0,89146.0,-62.0,14196.0,-61.0,2474.0,-82.0,50718.0,-82.0,83663.0,-76.0,42933.0,15.878,3.1528364717542123
1753006496607,-0.487537622,0.123230367898941,9.168100357055664,-0.303905219,0.3251327872276306,0.026267185807228,6.525000095367432,-49.16250229,-39.73125076,-85.0,88217.0,-63.0,14035.0,-61.0,2699.5,-84.0,49170.5,-80.5,83337.0,-75.0,42878.0,15.878,3.2404152626362737
1753006496672,-0.55154562,-0.454636306,9.51805019378662,-0.13698642,-0.051007207,-0.055435978,6.506250381469727,-49.12500381,-40.33125305,-85.0,88217.0,-63.0,14035.0,-61.0,2699.5,-84.0,49170.5,-80.5,83337.0,-75.0,42878.0,15.878,3.3279940535183354
1753006496737,-0.608973384,0.4875376224517822,8.067401885986328,-0.009162972,-0.118813202,-0.249538258,5.868750095367432,-48.80625153,-40.21875,-85.0,88217.0,-63.0,14035.0,-61.0,2699.5,-84.0,49170.5,-80.5,83337.0,-75.0,42878.0,15.878,3.4155728444003968
1753006496802,-1.171286702,0.900897741317749,8.387441635131836,0.0175623632967472,0.2399171441793441,-0.025961753,5.756250381469727,-48.82500076,-39.71250153,-82.0,87288.0,-64.0,13874.0,-61.0,2925.0,-86.0,47623.0,-79.0,83011.0,-74.0,42823.0,15.878,3.503151635282458
1753006496876,-0.981057286,0.737587571144104,10.312467575073242,0.1814268380403518,0.1094975098967552,0.125074565410614,8.268750190734863,-48.54375076,-40.23750305,-83.0,87046.5,-62.5,13932.5,-60.0,2671.5,-85.0,47684.0,-79.0,82641.0,-73.5,42530.0,15.878,3.59073042616452
1753006496932,-1.185643673,0.4660021960735321,11.11346435546875,0.0378736145794391,0.0323758348822593,0.3507890999317169,7.387500286102295,-49.29375076,-39.24375153,-83.0,87046.5,-62.5,13932.5,-60.0,2671.5,-85.0,47684.0,-79.0,82641.0,-73.5,42530.0,15.878,3.678309217046581
1753006496998,-1.732403636,-0.236889437,10.98006534576416,-0.301156342,-0.123547405,0.495716780424118,6.806250095367432,-49.29375076,-38.47500229,-83.0,87046.5,-62.5,13932.5,-60.0,2671.5,-85.0,47684.0,-79.0,82641.0,-73.5,42530.0,15.878,3.7658880079286425
1753006497063,-0.361316234,-1.173679471,10.441082000732422,0.0226019974797964,-0.374460101,0.0056504993699491,7.293750286102295,-49.83750153,-39.41250229,-83.0,87046.5,-62.5,13932.5,-60.0,2671.5,-85.0,47684.0,-79.0,82641.0,-73.5,42530.0,15.878,3.853466798810704
1753006497127,-1.110867858,0.2578266263008117,8.294121742248535,-0.151341751,0.1588248461484909,-0.133473948,4.725000381469727,-49.06875229,-38.17500305,-84.0,86805.0,-61.0,13991.0,-59.0,2418.0,-84.0,47745.0,-79.0,82271.0,-73.0,42237.0,15.878,3.9410455896927656
1753006497193,-1.308275819,0.5712863802909851,8.648259162902832,0.0719293281435966,-0.241444305,0.1487455666065216,6.993750095367432,-48.90000153,-39.16875076,-84.0,86382.5,-63.0,13844.5,-55.0,1651.5,-85.5,48372.5,-78.5,81641.0,-71.0,41536.5,15.878,4.0286243805748265
1753006497258,-0.474975288,1.114457130432129,7.813762187957764,-0.02687805,-0.203723401,0.1916588246822357,7.218750476837158,-48.90000153,-40.44375229,-84.0,86382.5,-63.0,13844.5,-55.0,1651.5,-85.5,48372.5,-78.5,81641.0,-71.0,41536.5,15.878,4.116203171456888
1753006497322,-0.712462962,0.5611169338226318,9.760323524475098,0.1076649203896522,0.0329866968095302,0.0728456228971481,5.550000190734863,-49.85625076,-39.58125305,-84.0,85960.0,-65.0,13698.0,-51.0,885.0,-87.0,49000.0,-78.0,81011.0,-69.0,40836.0,15.878,4.20378196233895
1753006497388,-0.871585667,0.7310073375701904,10.323833465576172,0.1594357043504715,-0.085673787,0.013439024798572,6.356250286102295,-49.65000153,-39.78750229,-86.0,86321.5,-65.5,13791.0,-53.0,1773.5,-86.5,50226.5,-78.0,81334.5,-70.5,41259.5,15.878,4.291360753221011
1753006497452,-1.11445713,0.237487643957138,11.496315956115724,-0.113162704,0.0320704020559787,-0.099265523,7.293750286102295,-48.73125076,-38.75625229,-86.0,86321.5,-65.5,13791.0,-53.0,1773.5,-86.5,50226.5,-78.0,81334.5,-70.5,41259.5,15.878,4.378939544103073
1753006497518,-0.438484758,-0.291326165,11.453245162963867,0.1728747338056564,-0.129961476,-0.304974228,5.71875,-49.16250229,-38.96250153,-88.0,86683.0,-66.0,13884.0,-55.0,2662.0,-86.0,51453.0,-78.0,81658.0,-72.0,41683.0,15.878,4.4665183349851345
1753006497584,-0.580259502,-0.058025949,9.369695663452148,-0.25381431,0.4358520209789276,0.0452039949595928,7.162500381469727,-49.61250305,-38.58750153,-86.5,87347.0,-65.5,13855.5,-54.5,2479.0,-85.5,49884.5,-77.0,81422.5,-71.0,41321.5,15.878,4.554097125867195
1753006497649,-0.541974306,-0.738185763,9.732208251953123,-0.11759147,-0.128281608,-0.04138609,7.762500286102295,-48.95625305,-38.32500076,-85.0,88011.0,-65.0,13827.0,-54.0,2296.0,-85.0,48316.0,-76.0,81187.0,-70.0,40960.0,15.878,4.641675916749257
1753006497716,-0.090329058,0.4965106844902038,7.693522930145264,0.0569631420075893,0.050854492932558,-0.195782155,6.468750476837158,-48.63750076,-38.85000229,-85.0,87435.0,-64.0,13690.5,-55.5,2337.5,-84.5,49341.5,-77.5,81197.0,-71.5,41064.0,15.878,4.729254707631319
1753006497780,-0.422931403,1.1042876243591309,8.201997756958008,0.3775144219398498,0.2791652083396911,-0.093920462,6.862500190734863,-48.91875076,-38.15625,-85.0,86859.0,-63.0,13554.0,-57.0,2379.0,-84.0,50367.0,-79.0,81207.0,-73.0,41168.0,15.878,4.81683349851338
