RSSI_4,RSSI_10,RSSI_11,RSSI_14,RSSI_15,RSSI_16,RSSI_17,RSSI_18,RSSI_20,RSSI_24,RSSI_25,RSSI_27,RSSI_29,RSSI_30,RSSI_31,RSSI_32,RSSI_34,RSSI_35,RSSI_36,RSSI_37,RSSI_38,RSSI_41,RSSI_44,RSSI_45,RSSI_46,RSSI_50,RSSI_51,RSSI_55,RSSI_58,RSSI_60,RSSI_63,RSSI_68,RSSI_69,RSSI_70,RSSI_71,RSSI_72,RSSI_73,RSSI_74,RSSI_75,RSSI_77,RSSI_78,RSSI_79,RSSI_80,RSSI_85,RSSI_90,RSSI_91,RSSI_95,RSSI_103,RSSI_105,RSSI_106,RSSI_111,RSSI_117,RSSI_121,RSSI_122,RSSI_127,RSSI_129,RSSI_138,RSSI_141,RSSI_142,RSSI_143,RSSI_145,RSSI_147,RSSI_148,RSSI_149,RSSI_159,RSSI_184,RSSI_201,RSSI_202,RSSI_203,RSSI_214,RSSI_215,RSSI_216,RSSI_217,RSSI_218,RSSI_220,RSSI_221,RSSI_222,RSSI_229,RSSI_230,RSSI_231,RSSI_233,RSSI_234,RSSI_238,RSSI_239,RSSI_240,RSSI_241,RSSI_242,RSSI_243,RSSI_244,RSSI_245,RSSI_246,RSSI_247,RSSI_249,RSSI_250,RSSI_252,RSSI_259,RSSI_260,RSSI_274,RSSI_275,RSSI_278,RSSI_279,RSSI_280,RSSI_281,RSSI_282,RSSI_283,RSSI_284,RSSI_285,RSSI_286,RSSI_287,RSSI_291,RSSI_293,RSSI_296,RSSI_297,RSSI_298,RSSI_302,RSSI_303,RSSI_304,RSSI_305,RSSI_306,RSSI_307,RSSI_308,RSSI_309,RSSI_310,RSSI_311,RSSI_312,RSSI_321,RSSI_330,RSSI_331,gyroscope_x,gyroscope_y,gyroscope_z,accelerometer_x,accelerometer_y,accelerometer_z,magnetometer_x,magnetometer_y,magnetometer_z,x_coord,y_coord,z
0,0,0,0,0,0,0,0,0,-87,0,0,-86,0,0,-84,-85,-89,-57,0,0,-90,-85,-86,-86,0,-83,0,-83,0,0,-59,0,-58,0,-62,-62,-63,0,-68,-63,-69,-67,0,-76,-76,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-80,-77,-83,-82,0,-78,-78,-79,-73,-72,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.27672195,-0.05681047,0.07269296,-0.02873042,10.254366,-1.352724,10.26,-48.899998,31.08,-14.05913898,21.93809586,6.271934616
0,0,0,0,0,0,0,0,0,-87,0,0,-86,0,0,-84,-85,-89,-57,0,0,-90,-85,-86,-86,0,-83,0,-83,0,0,-59,0,-58,0,-62,-62,-63,0,-68,-63,-69,-67,0,-76,-76,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-80,-77,-83,-82,0,-78,-78,-79,-73,-72,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.031154128,-0.04337143,0.015271631,0.89543146,10.455479,-0.25617957,9.599999,-47.46,30.119999,-14.03125182,21.92887943,6.271934616
0,0,0,0,0,0,0,0,0,-87,0,0,-86,0,0,-84,-85,-89,-57,0,0,-90,-85,-86,-86,0,-83,0,-83,0,0,-59,0,-58,0,-62,-62,-63,0,-68,-63,-69,-67,0,-76,-76,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-80,-77,-83,-82,0,-78,-78,-79,-73,-72,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112399206,-0.061086524,0.002443461,-0.14604631,9.325416,-0.2801216,0.0,0.0,0.0,-14.00336466,21.919663,6.271934616
0,0,0,0,0,0,0,0,0,-87,0,0,-86,0,0,-84,-85,-89,-57,0,0,-90,-85,-86,-86,0,-83,0,-83,0,0,-59,0,-58,0,-62,-62,-63,0,-68,-63,-69,-67,0,-76,-76,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-80,-77,-83,-82,0,-78,-78,-79,-73,-72,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.16432275,-0.2883284,0.005497787,0.6847417,9.55047,-1.9656396,9.179999,-46.86,29.16,-13.97547749,21.91044657,6.271934616
0,0,0,0,0,0,0,0,0,-87,0,0,-86,0,0,-84,-85,-89,-57,0,0,-90,-85,-86,-86,0,-83,0,-83,0,0,-59,0,-58,0,-62,-62,-63,0,-68,-63,-69,-67,0,-76,-76,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-80,-77,-83,-82,0,-78,-78,-79,-73,-72,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.13072516,-0.02565634,-0.17654006,0.37349546,9.665392,-1.1180922,10.38,-46.98,28.26,-13.94759033,21.90123014,6.271934616
0,0,0,0,0,0,0,0,0,-87,0,0,-86,0,0,-84,-85,-89,-57,0,0,-90,-85,-86,-86,0,-83,0,-83,0,0,-59,0,-58,0,-62,-62,-63,0,-68,-63,-69,-67,0,-76,-76,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-80,-77,-83,-82,0,-78,-78,-79,-73,-72,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.096516706,-0.03176499,-0.026267206,-0.14844051,9.818622,-1.0247183,10.92,-47.219997,29.099998,-13.91970317,21.89201371,6.271934616
0,0,0,0,0,0,0,0,0,-87,0,0,-86,0,0,-84,-85,-89,-57,0,0,-90,-85,-86,-86,0,-83,0,-83,0,0,-59,0,-58,0,-62,-62,-63,0,-68,-63,-69,-67,0,-76,-76,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-80,-77,-83,-82,0,-78,-78,-79,-73,-72,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0580322,-0.06658431,-0.040927973,0.545878,9.696517,-1.055843,10.38,-46.44,28.019999,-13.891816,21.88279729,6.271934616
0,0,0,0,0,0,0,0,0,-87,0,0,-86,0,0,-84,-85,-89,-57,0,0,-90,-85,-86,-86,0,-83,0,-83,0,0,-59,0,-58,0,-62,-62,-63,0,-68,-63,-69,-67,0,-76,-76,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-80,-77,-83,-82,0,-78,-78,-79,-73,-72,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005497787,-0.059253927,-0.08674286,0.18435353,9.289502,-1.352724,11.639999,-46.379997,27.18,-13.86392884,21.87358086,6.271934616
0,0,0,0,0,0,0,0,0,-87,0,0,-86,0,0,-84,-85,-89,-57,0,0,-90,-85,-86,-86,0,-83,0,-83,0,0,-59,0,-58,0,-62,-62,-63,0,-68,-63,-69,-67,0,-76,-76,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-80,-77,-83,-82,0,-78,-78,-79,-73,-72,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.10140363,0.029321533,-0.119729586,0.12210429,9.457097,-1.6879122,11.16,-46.559998,27.9,-13.83604168,21.86436443,6.271934616
0,0,0,0,0,0,0,0,0,-87,0,0,-86,0,0,-84,-85,-89,-57,0,0,-90,-85,-86,-86,0,-83,0,-83,0,0,-59,0,-58,0,-62,-62,-63,0,-68,-63,-69,-67,0,-76,-76,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-76,-80,-77,-83,-82,0,-78,-78,-79,-73,-72,0,0,0,0,0,0,-75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.16432275,0.12217305,-0.051923547,-0.39025488,9.55047,-1.2689269,11.28,-44.7,27.3,-13.80815451,21.855148,6.271934616
